Name,Date,Prev_close,Close,Per_diff
PARAS,03-01-2022 00:00,743,711.95,-4.179004038
PARAS,01-02-2022 00:00,711.95,671.25,-5.716693588
PANACHE,06-01-2020 00:00,52,63.9,22.88461538
PANACHE,01-02-2020 00:00,63.9,47.5,-25.66510172
PANACHE,02-03-2020 00:00,47.5,45.05,-5.157894737
PANACHE,01-04-2020 00:00,45.05,41.45,-7.991120977
PANACHE,04-05-2020 00:00,41.45,36.25,-12.54523522
PANACHE,01-06-2020 00:00,36.25,38.5,6.206896552
PANACHE,01-07-2020 00:00,38.5,57.6,49.61038961
PANACHE,03-08-2020 00:00,57.6,61.5,6.770833333
PANACHE,01-09-2020 00:00,61.5,51.1,-16.91056911
PANACHE,01-10-2020 00:00,51.1,45.5,-10.95890411
PANACHE,02-11-2020 00:00,45.5,42.35,-6.923076923
PANACHE,01-12-2020 00:00,42.35,40.75,-3.778040142
PANACHE,01-01-2021 00:00,40.75,40.05,-1.717791411
PANACHE,01-02-2021 00:00,40.05,49.1,22.59675406
PANACHE,01-03-2021 00:00,49.1,57.45,17.00610998
PANACHE,01-04-2021 00:00,57.45,57.45,0
PANACHE,03-05-2021 00:00,57.45,56.3,-2.001740644
PANACHE,01-06-2021 00:00,56.3,60.35,7.193605684
PANACHE,01-07-2021 00:00,60.35,79.25,31.31731566
PANACHE,12-10-2021 00:00,56.9,59.3,4.217926186
PANACHE,01-11-2021 00:00,59.3,60.25,1.602023609
PANACHE,01-12-2021 00:00,60.25,72.85,20.91286307
PANACHE,03-01-2022 00:00,72.85,68.2,-6.382978723
PANACHE,01-02-2022 00:00,68.2,59.95,-12.09677419
PANAMAPET,01-01-2020 00:00,67.35,62.95,-6.533036377
PANAMAPET,01-02-2020 00:00,62.95,56.15,-10.80222399
PANAMAPET,02-03-2020 00:00,56.15,28.25,-49.68833482
PANAMAPET,01-04-2020 00:00,28.25,38.95,37.87610619
PANAMAPET,04-05-2020 00:00,38.95,33.95,-12.83697047
PANAMAPET,01-06-2020 00:00,33.95,42.15,24.15316642
PANAMAPET,01-07-2020 00:00,42.15,41.05,-2.609727165
PANAMAPET,03-08-2020 00:00,41.05,53.2,29.59805116
PANAMAPET,01-09-2020 00:00,53.2,54.5,2.443609023
PANAMAPET,01-10-2020 00:00,54.5,54.65,0.275229358
PANAMAPET,02-11-2020 00:00,54.65,79.6,45.65416285
PANAMAPET,01-12-2020 00:00,79.6,98.15,23.3040201
PANAMAPET,01-01-2021 00:00,98.15,101.15,3.056546103
PANAMAPET,01-02-2021 00:00,101.15,168.95,67.02916461
PANAMAPET,01-03-2021 00:00,168.95,145.05,-14.1461971
